Id,Index,SubIndex,Access,Type,Length
517,2600,0C,Read,UNSIGNED8,8
518,2600,0D,Read,UNSIGNED8,8
519,2600,0E,Read,UNSIGNED8,8
520,2600,0F,Read,UNSIGNED8,8
521,2600,10,Read,UNSIGNED8,8
522,2600,11,Read,UNSIGNED8,8
523,2600,12,Read,UNSIGNED8,8
524,2600,13,Read,UNSIGNED8,8
525,2600,14,Read,UNSIGNED8,8
526,2600,15,Read,UNSIGNED8,8
527,2600,16,Read,UNSIGNED8,8
528,2600,17,Read,UNSIGNED8,8
529,2600,18,Read,UNSIGNED8,8
530,2600,19,Read,UNSIGNED8,8
531,2600,1A,Read,UNSIGNED8,8
532,2600,1B,Read,UNSIGNED8,8
533,2600,1C,Read,UNSIGNED8,8
534,2600,1D,Read,UNSIGNED8,8
535,2600,1E,Read,UNSIGNED8,8
536,2600,1F,Read,UNSIGNED8,8
537,2600,20,Read,UNSIGNED8,8
538,2600,21,Read,UNSIGNED8,8
539,2600,22,Read,UNSIGNED8,8
540,2600,23,Read,UNSIGNED8,8
541,2600,24,Read,UNSIGNED8,8
542,2600,25,Read,UNSIGNED8,8
543,2600,26,Read,UNSIGNED8,8
544,2600,27,Read,UNSIGNED8,8
545,2600,28,Read,UNSIGNED8,8
546,2600,29,Read,UNSIGNED8,8
547,2600,2A,Read,UNSIGNED8,8
548,2600,2B,Read,UNSIGNED8,8
549,2600,2C,Read,UNSIGNED8,8
550,2600,2D,Read,UNSIGNED8,8
551,2600,2E,Read,UNSIGNED8,8
552,2600,2F,Read,UNSIGNED8,8
553,2600,30,Read,UNSIGNED8,8
554,2600,31,Read,UNSIGNED8,8
555,2600,32,Read,UNSIGNED8,8
556,2600,33,Read,UNSIGNED8,8
557,2600,34,Read,UNSIGNED8,8
558,2600,35,Read,UNSIGNED8,8
559,2600,36,Read,UNSIGNED8,8
560,2600,37,Read,UNSIGNED8,8
561,2600,38,Read,UNSIGNED8,8
562,2600,39,Read,UNSIGNED8,8
563,2600,3A,Read,UNSIGNED8,8
564,2600,3B,Read,UNSIGNED8,8
565,2600,3C,Read,UNSIGNED8,8
566,2600,3D,Read,UNSIGNED8,8
567,2600,3E,Read,UNSIGNED8,8
568,2600,3F,Read,UNSIGNED8,8
569,2600,40,Read,UNSIGNED8,8
570,2800,00,Read,UNSIGNED8,8
571,2800,01,Read/Write,UNSIGNED32,32
572,2800,02,Read/Write,UNSIGNED32,32
573,2800,03,Read/Write,UNSIGNED32,32
574,3202,00,Read/Write,UNSIGNED32,32
575,3203,00,Read,UNSIGNED8,8
576,3203,01,Read/Write,UNSIGNED8,8
577,3203,02,Read/Write,UNSIGNED8,8
578,3203,03,Read/Write,UNSIGNED8,8
579,3204,00,Read,UNSIGNED8,8
580,3204,01,Read,UNSIGNED16,16
581,3204,02,Read,UNSIGNED16,16
582,3204,03,Read,UNSIGNED16,16
583,320D,00,Read,UNSIGNED8,8
584,320D,01,Read/Write,UNSIGNED32,32
585,320D,02,Read/Write,UNSIGNED32,32
586,3210,00,Read,UNSIGNED8,8
587,3210,01,Read/Write,UNSIGNED32,32
588,3210,02,Read/Write,UNSIGNED32,32
589,3210,03,Read/Write,UNSIGNED32,32
590,3210,04,Read/Write,UNSIGNED32,32
591,3210,05,Read/Write,UNSIGNED32,32
592,3210,06,Read/Write,UNSIGNED32,32
593,3210,07,Read/Write,UNSIGNED32,32
594,3210,08,Read/Write,UNSIGNED32,32
595,3210,09,Read/Write,UNSIGNED32,32
596,3210,0A,Read/Write,UNSIGNED32,32
597,3210,0B,Read/Write,UNSIGNED32,32
598,3210,0C,Read/Write,UNSIGNED32,32
599,3212,00,Read,UNSIGNED8,8
600,3212,01,Read/Write,INTEGER8,8
601,3212,02,Read/Write,INTEGER8,8
